	종목명	현재가	전일비	등락률	액면가	거래량	시가총액	매출액증가율	영업이익증가율	외국인 비중
1070	메타바이오메드	"2,880"	30	1.05%	500	"357,978"	687	12.94	"3,188.74"	4.94
828	잉글우드랩	"5,060"	100	-1.94%	0	"136,160"	"1,005"	12.25	"2,519.48"	12.29
1361	글로벌에스엠	558	1	0.18%	0	"151,022"	300	5.63	"1,953.52"	3.66
878	위니아딤채	"2,565"	5	-0.19%	500	"87,874"	923	34.65	"1,791.76"	0.68
832	코위버	"10,100"	100	-0.98%	500	"97,480"	989	105.34	"1,490.08"	2.75
1123	블러썸엠앤씨	"4,555"	0	0.00%	500	0	625	6.74	"1,244.10"	0.18
902	CNH	"2,400"	15	0.63%	"2,500"	"137,466"	893	168.05	"1,113.66"	0.71
1096	삼진	"11,000"	250	-2.22%	500	"74,844"	660	54.21	"1,081.41"	2.4
1037	파인텍	"1,690"	35	-2.03%	500	"1,057,802"	725	18.27	901.42	2.12
988	플레이위드	"9,070"	30	0.33%	500	"59,005"	789	374.23	810.34	1.91
848	신화인터텍	"3,310"	95	-2.79%	500	"593,511"	964	43.28	763.29	3.19
1026	태양	"8,600"	150	1.78%	500	"39,372"	740	3.74	592.33	3.73
1011	한라IMS	"6,400"	70	-1.08%	500	"18,617"	752	47.09	515.45	0.42
850	로체시스템즈	"6,260"	10	-0.16%	500	"267,655"	958	7.81	509.85	41.7
1217	세중	"2,830"	5	0.18%	500	"140,854"	513	19.85	496.43	1.59
1212	뉴보텍	"1,540"	5	0.33%	500	"427,087"	515	4.49	414.85	0.96
1175	에코플라스틱	"2,180"	5	0.23%	500	"1,359,166"	560	12.18	393.95	2.16
953	현대사료	"13,550"	250	1.88%	500	"19,170"	833	12.73	378.51	0.46
1066	유비벨록스	"9,770"	40	0.41%	500	"104,009"	695	157.22	364.4	3.11
1168	우리조명	"2,265"	200	9.69%	500	"6,389,913"	565	30.37	328.54	2.08
844	케이엔제이	"15,300"	400	-2.55%	500	"240,246"	971	10.18	319.18	0.66
1201	세원물산	"6,280"	0	0.00%	500	0	524	32.73	312.7	2.47
946	포비스티앤씨	973	0	0.00%	500	0	842	30.64	310.2	1.71
1089	엠벤처투자	"1,075"	20	-1.83%	500	"512,693"	667	57.15	294.14	2.83
805	오픈베이스	"3,355"	115	3.55%	500	"2,027,631"	"1,054"	7.29	284.48	1.05
1049	삼영엠텍	"5,500"	140	-2.48%	500	"357,185"	715	1.06	270.25	2.25
812	시공테크	"5,160"	20	-0.39%	500	"89,613"	"1,034"	64.17	269.78	0.75
873	파이오링크	"13,550"	150	-1.09%	500	"61,151"	929	28.37	269.07	1.08
